category_name,original_text,created_text,name,model_name,prompt_type,Rouge-L-Score,BLEU,Semantic_Similarity,METEOR_Score,orig_complete_hierarchy,orig_child_only,created_complete_hierarchy,created_child_only
Anthologies,The Women Up To No Good series are anthologies of dark fiction by marginalized voices.,"Anthologies is a storytelling brand that amplifies marginalized voices through bold, narrative-driven projects, with *Women Up To No Good* as its flagship initiative. This project centers rebellious, unapologetic women who defy societal constraints, celebrating their agency and subversion of oppressive norms. By spotlighting stories of resistance, mischief, and autonomy, it challenges patriarchal frameworks and redefines ""goodness"" as an act of liberation, inspiring audiences to rethink power, gender, and the radical potential of women’s refusal to conform.",Women Up To No Good,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.041, 'Recall': 0.667, 'F1': 0.077}",0.017,0.552,0.193,"['Ethos', 'Ad Hominem', 'Name calling/Labeling']",['Name calling/Labeling'],"['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Anthologies,Stories Of Monstrous Passions,"**Anthologies** is a transmedia storytelling brand that crafts expansive, interconnected narratives across multiple platforms—books, games, and digital experiences—to immerse audiences in richly layered universes. At its core, **Tales of Voracious** is a flagship project exploring themes of insatiable hunger, desire, and consequence through dark fantasy. It follows fractured characters in a cursed world where their cravings—literal and metaphorical—spiral into self-destruction or transformation, blending visceral storytelling with moral ambiguity to interrogate human nature and the cost of unchecked ambition. The brand thrives on weaving fragmented perspectives into a cohesive, haunting tapestry, inviting audiences to piece together truths while questioning their own appetites.",Tales of Voracious,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.005, 'Recall': 0.5, 'F1': 0.01}",0.001,0.377,0.021,"['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Loaded Language']","['Logos', 'Justification', 'Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Smears', 'Loaded Language']"
Anthologies,"Almost Finished is a book of inspiring interviews featuring 75 Dreamchasers on building legacy,  taking chances, and giving grace.","Anthologies is a brand dedicated to capturing authentic human experiences through storytelling, fostering connection and empathy by highlighting the raw, often overlooked narratives of struggle, growth, and resilience. Its project *Aspiring Co. Book—Almost Finished* embodies this mission by exploring the universal journey of creative pursuit, emphasizing the value of progress over perfection. The book celebrates the ""near-completion"" phase as a testament to courage and perseverance, offering insights and solidarity to anyone navigating the messy, uncertain path of bringing an idea to life—reminding us that the act of striving itself is a profound achievement.",Aspiring Co. Book- Almost Finished,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.022, 'Recall': 0.421, 'F1': 0.042}",0.004,0.569,0.153,"['Ethos', 'Ad Hominem', 'Name calling/Labeling']",['Name calling/Labeling'],"['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Apps,"Integrate photos and music into StoryPress, a free app that helps people capture their life stories.","**Apps** is a brand dedicated to creating innovative digital platforms that foster meaningful human connections, with **StoryPress: Human History, Told through Personal Stories** serving as its flagship project. This initiative empowers individuals worldwide to document and share their lived experiences, memories, and perspectives through multimedia storytelling (text, audio, photos), weaving personal narratives into a collective, crowdsourced archive of humanity. By blending intimate storytelling with collaborative history, StoryPress aims to democratize historical preservation, ensuring diverse voices—often overlooked in traditional records—are preserved for future generations, transforming history into a living, accessible tapestry of shared human truth.","StoryPress: Human History, Told through Personal Stories",deepseek-ai/deepseek-r1,generic,"{'Precision': 0.021, 'Recall': 0.375, 'F1': 0.04}",0.002,0.565,0.109,[],[],[],[]
Architecture,The Treehouse at Cornell takes architecture to new heights with a teaching space in the trees for Cornell Outdoor Education,"The Treehouse at Cornell embodies the core principles of its brand architecture—sustainability, interdisciplinary innovation, and community-centric design—by reimagining a historic campus building into a net-zero energy hub. This adaptive reuse project integrates cutting-edge eco-technologies, biophilic elements, and flexible collaborative spaces to foster environmental stewardship, academic synergy, and social engagement, reflecting Cornell’s commitment to actionable solutions for a resilient future.",The Treehouse at Cornell,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.036, 'Recall': 0.6, 'F1': 0.068}",0.009,0.591,0.209,"['Ethos', 'Ad Hominem', 'Smears']",['Smears'],"['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Art Books,An Otto and Victoria paper doll book that empowers your imagination and unlocks your inner storyteller.,"Art Books is a visionary brand that redefines creativity through publications merging art with the everyday. Its project, *Dressing Your Octopus*, uses the whimsical metaphor of styling an octopus—a symbol of adaptability and multiplicity—to champion the infusion of personal artistry into daily life. By dissolving boundaries between art and routine, the initiative invites individuals to embrace creativity as a dynamic, essential practice, transforming mundane moments into opportunities for imaginative self-expression and reimagining how art intersects with the ordinary.",Dressing Your Octopus,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.014, 'Recall': 0.5, 'F1': 0.027}",0.001,0.366,0.054,"['Ethos', 'Ad Hominem']",[],"['Pathos', 'Loaded Language']",['Loaded Language']
Art Books,"Pre-order our anthology of artists and collectives from 2013 - 2023 working in China, Hong Kong & beyond!","Art Books is a platform dedicated to experimental art and cross-cultural dialogue, fostering collaborations that transcend traditional boundaries through interdisciplinary projects. Their inaugural book, *Shifting the Angle of Shine: yáo collaborative's first book!*, embodies this ethos by reorienting perspectives to uncover beauty in marginalized narratives. Created with the yáo collective—a global network of artists—the project merges visual art, poetry, and essays to challenge dominant cultural frameworks, emphasizing fluidity, shared humanity, and the transformative power of reframing light (both literal and metaphorical). It invites readers to reconsider identity, heritage, and connection, aligning with Art Books’ mission to amplify diverse voices and reimagine art’s role in societal reflection and change.",Shifting the Angle of Shine: yáo collaborative's first book!,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.013, 'Recall': 0.294, 'F1': 0.025}",0.002,0.462,0.071,[],[],"['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Art Books,A coffee table book containing visual expressions of 'change'.,"Art Books is a brand dedicated to celebrating and democratizing art through meticulously curated publications that bridge creativity and accessibility, fostering cultural dialogue and education. Its project *Change* embodies this mission by exploring transformation through art, presenting dynamic visual narratives and thought-provoking collaborations that challenge conventional perspectives, inspire societal evolution, and underscore art’s power to redefine boundaries, spark empathy, and drive meaningful, collective progress.",Change,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.011, 'Recall': 0.444, 'F1': 0.022}",0.002,0.335,0.058,[],[],"['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Art Books,"A collection of photographs, poetry, and essays documenting Korea's culture and beliefs around death, afterlife, and reincarnation.","Art Books is a cultural platform dedicated to exploring profound human experiences through visually rich, scholarly publications that bridge art, history, and anthropology. Its project *Return: Korea's Rituals of Death, Spirits, and Ancestors* delves into Korea’s enduring spiritual traditions, documenting rituals that honor the deceased, commune with spirits, and maintain ancestral bonds. Through evocative imagery and insightful narratives, the work illuminates how these practices reflect a worldview where life, death, and memory intertwine, preserving cultural identity and offering timeless reflections on mortality, continuity, and the sacred connection between past and present.","Return: Korea's Rituals of Death, Spirits, and Ancestors",deepseek-ai/deepseek-r1,generic,"{'Precision': 0.025, 'Recall': 0.556, 'F1': 0.048}",0.002,0.717,0.115,"['Pathos', 'Loaded Language']",['Loaded Language'],"['Pathos', 'Loaded Language']",['Loaded Language']
Art Books,A collection of hundreds of anonymous shame confessions from real people and an illustrated story about overcoming shame,"Art Books is a brand dedicated to merging visual art with literary exploration, creating works that provoke thought and emotional resonance through interdisciplinary storytelling. *Shame: An Illustrated Book* epitomizes this mission by dissecting the complex emotion of shame through a blend of evocative illustrations and incisive narrative, examining its personal, cultural, and societal dimensions. The project challenges stigma and vulnerability, using art to transform abstract discomfort into a tangible, shared human experience, ultimately fostering empathy and dialogue around a universally felt yet often silenced subject.",Shame: An Illustrated Book,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.024, 'Recall': 0.444, 'F1': 0.045}",0.003,0.606,0.106,"['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language'],"['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Art Books,A hardcover anthology collecting my first five sketchbooks.,"Art Books is a visionary brand dedicated to curating and publishing interdisciplinary art collections that explore the intersections of creativity, philosophy, and human experience. Its project *Visions of Whence* embodies this mission through a contemplative anthology blending visual art, poetry, and essays, inviting creators and audiences to reflect on themes of origin, existence, and interconnectedness. By merging diverse mediums and perspectives, the project seeks to dissolve boundaries between individual and universal narratives, offering a meditative dialogue on how personal and collective histories shape our understanding of identity, time, and belonging.",Visions of Whence,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.01, 'Recall': 0.375, 'F1': 0.019}",0.002,0.378,0.056,[],[],"['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Audio,"A series of critical, high quality radio reports - out of Africa - for Africa - free for Africa - you can make it possible","The brand **Audio** leverages the power of sound storytelling to drive social change, education, and community engagement through accessible, culturally resonant content. Its project **The Critical African Circumcision Radio Series** confronts taboos and misinformation around traditional male circumcision practices in Africa, blending public health advocacy with cultural sensitivity. By broadcasting expert insights, personal narratives, and evidence-based guidance, the series aims to reduce medical risks, foster dialogue, and bridge traditional rituals with modern healthcare practices. Rooted in collaboration with local communities, the project underscores Audio’s mission to empower marginalized voices and address pressing societal issues through innovative, listener-driven media.",The Critical African Circumcision Radio Series,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.02, 'Recall': 0.429, 'F1': 0.039}",0.002,0.483,0.105,[],[],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Audio,The Humanist Experience is a unique podcast where we educate our emotions and expand our world by living radical experiences.,"Audio is a brand dedicated to human-centered audio innovation, crafting immersive, emotionally resonant sound experiences that prioritize connection and authenticity. Its flagship project, *Humanist Experience Radio*, embodies this mission as a community-driven platform blending storytelling, music, and dialogue to explore universal human experiences and cultural narratives. By amplifying diverse voices and fostering empathy through curated content, it bridges technology and humanity, creating a shared space where listeners engage deeply with the stories that unite us, ultimately celebrating our collective humanity through the transformative power of sound.",Humanist Experience Radio,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.015, 'Recall': 0.55, 'F1': 0.029}",0.003,0.582,0.079,"['Pathos', 'Loaded Language']",['Loaded Language'],"['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Audio,"A team of NPR veterans breaks away to podcast and create NPR stories about fashion as anthropology, history, symbolism, and culture.","Audio is a brand rooted in the power of storytelling through sound, emphasizing craftsmanship, authenticity, and emotional connection. Its project *The SEAMS: In every stitch, a story* embodies this ethos by intertwining narrative with artistry, framing each meticulously crafted audio product as a tapestry of human experiences. Just as seams bind fabric, the project weaves individual stories—of creators, cultures, or listeners—into its design, transforming technical precision into a medium for shared memory and meaning. Together, they celebrate how detail-driven creation can turn sound into a visceral, story-rich journey.","The SEAMS: In every stitch, a story.",deepseek-ai/deepseek-r1,generic,"{'Precision': 0.02, 'Recall': 0.381, 'F1': 0.038}",0.002,0.494,0.121,"['Ethos', 'Ad Hominem', 'Smears']",['Smears'],"['Logos', 'Justification', 'Slogans', 'Ethos', 'Pathos', 'Loaded Language']","['Slogans', 'Loaded Language']"
Calendars,Celtic Art Wall Calendar for 2015,"Calendars is a brand dedicated to transforming timekeeping into an artistic experience, merging functionality with cultural storytelling through visually captivating designs. The Celtic Art Calendar exemplifies this mission by showcasing intricate, historically inspired Celtic patterns and symbols, each month featuring a unique piece that celebrates ancient Celtic heritage and craftsmanship. Combining aesthetic beauty with practical utility, the project invites users to engage daily with art that honors tradition, fosters connection to history, and enriches everyday life through timeless, handcrafted visuals paired with educational insights into Celtic lore and artistry.",Celtic Art Calendar,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.01, 'Recall': 0.667, 'F1': 0.02}",0.002,0.617,0.04,[],[],"['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Calendars,A wall calendar featuring colourful and whimsical artworks by Natacha Chohra.,"Calendars, a brand dedicated to merging artistry with everyday functionality, presents *Whimsical Wonders: A 2024 Calendar*, a project that transforms timekeeping into an imaginative journey. This calendar blends vibrant, surreal artwork with practical design, offering 12 months of fantastical themes—from enchanted forests to cosmic adventures—that invite users to escape the mundane. Each page balances whimsy and utility, encouraging creativity while providing structure, embodying the brand’s mission to elevate daily life through beauty, joy, and purposeful organization.","Whimsical Wonders, A 2024 Calendar",deepseek-ai/deepseek-r1,generic,"{'Precision': 0.019, 'Recall': 0.545, 'F1': 0.037}",0.002,0.616,0.084,[],[],"['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Calendars,"12-month calendar with images specific to Anchorage, Alaska by Alaskan Photographer Jeff Schultz","Calendars is a brand dedicated to merging practical timekeeping with artistic expression, creating products that celebrate the unique character of specific locales through vivid imagery and thoughtful design. The Anchorage & Vicinity 2016 Calendar exemplifies this mission by showcasing the rugged beauty, cultural heritage, and seasonal diversity of Alaska’s largest city and its surroundings, offering users a daily connection to the region’s landscapes, wildlife, and community spirit. It balances functionality with visual storytelling, serving as both an organizational tool and an homage to the area’s natural and cultural identity.",Anchorage & Vicinity 2016 Calendar,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.016, 'Recall': 0.5, 'F1': 0.031}",0.002,0.579,0.08,[],[],"['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Pathos']",['Glittering generalities (Virtue)']
Calendars,An illustrated calendar filled with fantastic beasts & beings from my world of Strangehollow,"Calendars merges functional design with imaginative storytelling, creating products that transform everyday planning into artistic experiences. The Strangehollow 2022 A4 Wall Calendar exemplifies this ethos, offering a whimsical journey through an enchanted forest village with meticulously illustrated monthly scenes. Each page blends practicality and fantasy, inviting users to explore a quirky, magical world teeming with peculiar creatures and seasonal charm, turning timekeeping into a daily dose of wonder and creative inspiration.",Strangehollow 2022 A4 Wall Calendar,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.014, 'Recall': 0.462, 'F1': 0.026}",0.002,0.572,0.087,"['Ethos', 'Ad Hominem', 'Name calling/Labeling']",['Name calling/Labeling'],"['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Name calling/Labeling', 'Smears', 'Loaded Language']"
Ceramics,I am an ocarina maker. I want to make the very first complete ocarina set of Zelda : Ocarina of Time replicas!,"Ceramics is a brand rooted in meticulous craftsmanship and cultural storytelling, blending traditional ceramic artistry with contemporary design to create functional, aesthetically resonant pieces. Their *Zelda: Ocarina of Time* replica project epitomizes this ethos, offering a compact, complete set of meticulously crafted ocarinas that authentically mirror the game’s iconic instruments. Each piece balances playable functionality with collectible artistry, designed to honor the game’s legacy while serving as tangible bridges between fantasy and reality. The project underscores Ceramics’ commitment to merging nostalgic reverence with precision craftsmanship, delivering immersive, space-conscious artifacts that appeal to both fans and connoisseurs of fine ceramics.",Zelda : Ocarina of Time replicas - complete ocarina set,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.041, 'Recall': 0.619, 'F1': 0.077}",0.008,0.73,0.242,"['Ethos', 'Ad Hominem']",[],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Children's Books,"An Illustrated Children's Book Honoring Mamas, their Magic, and the Multiple, Magnificent ""Hats"" That They Wear","Children's Books is a brand dedicated to crafting imaginative, emotionally resonant stories that nurture curiosity, empathy, and creativity in young minds. Its project *Magical Mama* amplifies this mission by centering intergenerational bonds, empowering mothers to become guides in their children’s growth through shared storytelling. By blending whimsical narratives with themes of love and resilience, the initiative transforms reading into a collaborative, magical experience—celebrating mothers as everyday heroes who spark wonder, foster connection, and instill timeless values through the power of stories.",Magical Mama,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.018, 'Recall': 0.529, 'F1': 0.035}",0.002,0.558,0.11,"['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Smears']","['Name calling/Labeling', 'Smears']","['Logos', 'Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Smears', 'Loaded Language']"
Children's Books,A children’s picture book about Zorro and the unique friends he makes on a rainy night full of adventure - benefiting rescue dogs!,"Children's Books is dedicated to crafting engaging, heartwarming stories that foster imagination, empathy, and life lessons for young readers. Their project *Zorro the Boston Terrier Book* centers on a playful, adventurous dog whose tales teach kindness, courage, and resilience. The $10,000 stretch goal aims to expand the book’s reach with enhanced illustrations, interactive activities, and resources for educators and families, ensuring the story inspires children globally while strengthening community connections through shared storytelling and accessible learning tools.","Zorro the Boston Terrier Book - Stretch Goal $10,000",deepseek-ai/deepseek-r1,generic,"{'Precision': 0.047, 'Recall': 0.565, 'F1': 0.087}",0.005,0.519,0.18,"['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Loaded Language']","['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Childrenswear,"Our ""Negative Waste, Positive Impact"" T-shirt is made ENTIRELY from off-cut fabrics and threads! 100% organic cotton. Unisex. 1-4 yrs.","Childrenswear's NUDNIK project pioneers a revolutionary approach to sustainable fashion as the first negative-waste, positive-impact kidswear brand. By transforming pre-consumer textile waste into durable, playful clothing through a closed-loop system, it eliminates landfill contribution while prioritizing ethical production. The brand redefines children's fashion by merging eco-conscious innovation with practicality, ensuring every garment minimizes environmental harm and maximizes social responsibility, proving style and sustainability can coexist seamlessly for future generations.","NUDNIK: The 1st Negative-Waste, Positive Impact Kidswear",deepseek-ai/deepseek-r1,generic,"{'Precision': 0.018, 'Recall': 0.261, 'F1': 0.034}",0.002,0.468,0.118,[],[],"['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
