category_name,prompt_type,model_name,created_text,created_complete_hierarchy,created_child_only
Comedy,generic,marin/marin-8b-instruct,"Comedy and the project Probabilistically, the most unserious comedy ever.Seriously! is a concept centered around the idea of taking comedy to its most extreme and uninhibited form. It challenges conventional humor by pushing the boundaries of what is considered ""unserious"" and ""absurd."" The project likely explores the use of advanced AI and machine learning to generate content that is deliberately nonsensical, irreverent, and over-the-top, aiming to create a truly unique comedic experience. By embracing the most unserious aspects of humor, it seeks to redefine what comedy can be, offering a fresh and unapologetically silly take on the genre.","['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Smears', 'Loaded Language']"
Comedy,generic,marin/marin-8b-instruct,"Comedy, as a brand, is dedicated to bringing laughter and joy to people's lives through high-quality content. Their latest project, ""Major Barbara: A Kingdom County/Semester Cinema Production,"" is a comedic production aimed at entertaining audiences with humor and wit. This project showcases Comedy's commitment to delivering engaging and hilarious experiences for viewers.","['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Smears', 'Pathos']","['Glittering generalities (Virtue)', 'Smears']"
Comic Books,generic,marin/marin-8b-instruct,"Comic Books is a brand that specializes in creating engaging graphic stories. Sven The Groundhog: Savior From the Stars #1 is a project within this brand, featuring Sven, a groundhog character who embarks on a cosmic adventure to save the universe from celestial threats, blending humor and epic space-saving missions in its narrative.","['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Smears', 'Loaded Language']"
Comic Books,generic,marin/marin-8b-instruct,"The brand Comic Books represents a vibrant and imaginative medium, blending artistic expression with storytelling to create engaging visual narratives that captivate audiences of all ages. Comic Books offer a unique blend of genres, from superhero adventures to heartfelt dramas, serving as both entertainment and a platform for exploring complex themes and social commentary. The 25th Anniversary of Tarot, Witch of the Black Rose Issue marks a significant milestone in the series, celebrating its enduring legacy and impact on the comic book industry. This special edition likely features a continuation of the mystical and darkly alluring storyline, with the protagonist Tarot facing new challenges and revelations, while paying homage to the series' rich history and loyal fanbase through nostalgic elements and modern storytelling.","['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos']","['Glittering generalities (Virtue)', 'Name calling/Labeling', 'Smears']"
Comic Books,generic,marin/marin-8b-instruct,"Comic Books is a brand that specializes in creating engaging, high-quality comic book content. Beastlands #1-9, a series under this brand, is a fantasy adventure series that explores a richly imagined world filled with magical creatures and epic battles. The series is known for its heartfelt storytelling and intricate character development, making it a must-read for fantasy enthusiasts.","['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Name calling/Labeling', 'Smears', 'Loaded Language']"
Comics,generic,marin/marin-8b-instruct,"Comics and the Comic Book Crowdfunding Planner 🚀 Workbook by ComixLaunch empower creators by providing resources and strategies to successfully launch and manage their comic book projects. These tools focus on guiding artists, writers, and teams through the complex process of crowdfunding, from concept development to campaign execution and post-campaign engagement. They offer practical advice, templates, and industry insights to help creators navigate the challenges of crowdfunding, connect with audiences, and ultimately bring their comic visions to life, fostering creative expression and community support in the comic book industry.","['Ethos', 'Ad Hominem', 'Smears']",['Smears']
Comics,generic,marin/marin-8b-instruct,"Comics and the Comic Book Crowdfunding Planner 🚀 Workbook by ComixLaunch empower creators by providing resources and strategies to successfully launch and manage their comic book projects. These tools focus on guiding artists, writers, and teams through the complex process of crowdfunding, from concept development to campaign execution and post-campaign engagement. They offer practical advice, templates, and industry insights to help creators navigate the challenges of crowdfunding, connect with audiences, and ultimately bring their comic visions to life, fostering creative expression and community support in the comic book industry.","['Ethos', 'Ad Hominem', 'Smears']",['Smears']
Comics,generic,marin/marin-8b-instruct,"Comics and the project Dr. Dream: The Collection represent the creative intersection of art, storytelling, and character development within the comic book genre. Comics, as a medium, uses sequential art and text to convey narratives across diverse themes and genres, engaging readers with visual and textual elements. Dr. Dream: The Collection, meanwhile, focuses on a specific character or storyline, likely exploring the character's adventures, struggles, and growth, offering a curated selection of stories that delve into their psyche and journey. Together, they embody the dynamic and imaginative realm of comic book artistry, where creativity knows no bounds.","['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Comics,generic,marin/marin-8b-instruct,"Comics and the projects Taste of Cherry and Deep Inside Cherry, by Larry Welz, are emblematic of a distinct brand identity centered on humor, satire, and social commentary, delivered through the lens of comic art. Comics, as a medium, is inherently playful and expressive, allowing for a unique blend of visual storytelling and textual wit. Taste of Cherry and Deep Inside Cherry, as specific projects, likely explore themes of human behavior, societal norms, and perhaps the absurdities of everyday life, all while maintaining a tone that is both engaging and thought-provoking. Larry Welz, as the creator, brings a personal touch to these projects, infusing them with his perspective and humor, making the brand resonate with audiences seeking entertainment and insight into the human condition through the comic medium.","['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Conceptual Art,generic,marin/marin-8b-instruct,"Conceptual Art is an avant-garde movement emphasizing the idea behind an artwork over its aesthetic or technical execution, often using unconventional materials and methods to challenge traditional notions of art. The Syntheshredder, a project embodying this ethos, is a digital platform that leverages AI and blockchain technology to create unique, verifiable digital art pieces. By merging cutting-edge technology with the conceptual art movement, The Syntheshredder democratizes art creation and ownership, allowing artists and users to generate and trade digital art in a transparent and secure manner.","['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Cookbooks,generic,marin/marin-8b-instruct,"**Cookbooks** is a brand that embodies culinary expertise, delivering authentic, step-by-step recipes crafted by seasoned chefs to empower home cooks with professional techniques and global flavors.    **Jia! Eating at the Swatow Table** is a project by Jia Lin, a Singapore-based culinary historian, that preserves and celebrates traditional Cantonese cuisine through meticulously researched recipes, storytelling, and cultural context, bridging generations and culinary heritage.","['Ethos', 'Ad Hominem', 'Smears', 'Pathos']",['Smears']
Cookbooks,generic,marin/marin-8b-instruct,"**Cookbooks** is a brand that embodies the spirit of culinary exploration and cultural exchange through food. It curates authentic recipes and stories, bridging traditions and modern tastes. **An Ode to the Swedish Soil / Ett Ode till den Svenska Jorden** is a project within this brand that celebrates Swedish cuisine. It delves into the country's agricultural heritage, featuring recipes rooted in local ingredients and narratives that honor the land’s role in shaping Swedish identity. The project aims to preserve culinary history while inspiring contemporary cooking, offering a taste of Sweden’s rich gastronomic culture.","['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Cookbooks,generic,marin/marin-8b-instruct,"Cookbooks and the project Pomegranates & Saffron: A Culinary Journey to Azerbaijan represent an exploration of culinary traditions and cultural heritage, focusing on the rich flavors and ingredients of Azerbaijan.","['Pathos', 'Loaded Language']",['Loaded Language']
Cookbooks,generic,marin/marin-8b-instruct,"Cookbooks is a brand dedicated to preserving and sharing family recipes, while Bumbu - My mom's recipes of Indonesian cuisine is a specific project that focuses on collecting and documenting traditional Indonesian dishes passed down through generations.","['Ethos', 'Ad Hominem', 'Smears']",['Smears']
Cookbooks,generic,marin/marin-8b-instruct,"Cookbooks, as a brand, embodies the art of culinary science, bridging the gap between flavor and science. They offer a collection of recipes and cooking techniques that are deeply rooted in scientific principles, empowering home cooks and professionals alike to understand and manipulate the chemistry of food. Their mission is to demystify the science of cooking, making it accessible and practical for everyone. Tchad: Cooking for Conservation, on the other hand, is a project that utilizes culinary skills to support environmental conservation efforts. It focuses on promoting sustainable food systems, reducing waste, and encouraging eco-friendly cooking practices. Through workshops, recipes, and community engagement, Tchad aims to educate and inspire individuals to make environmentally conscious choices in their daily lives, ultimately contributing to a healthier planet.",[],[]
Country & Folk,generic,marin/marin-8b-instruct,"Country & Folk is a music genre that blends traditional folk music with the narrative style and acoustic simplicity of country music, focusing on storytelling, authentic instrumentation, and heartfelt lyrics. Stefanie Clark Harris is currently working on a full-length album, bringing her unique voice and perspective to this genre.","['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Smears', 'Pathos']","['Glittering generalities (Virtue)', 'Smears']"
DIY,generic,marin/marin-8b-instruct,"The brand DIY, short for ""Do It Yourself,"" embodies a philosophy of hands-on creativity and empowerment, encouraging individuals to take charge of projects and learn through personal effort. The project CUBCHO represents a tool designed to instill this DIY spirit in children, offering a compact, user-friendly solution that allows them to build, experiment, and innovate. By providing a platform for young minds to engage in self-directed learning and creation, CUBCHO aims to foster creativity, problem-solving skills, and a sense of accomplishment, making complex concepts accessible and fun for kids.","['Ethos', 'Pathos']",[]
DIY Electronics,generic,marin/marin-8b-instruct,"**DIY Electronics** is a brand empowering electronics enthusiasts and educators by providing accessible, affordable, and educational electronics kits for hands-on learning and projects.  The **OpenMV Cam H7 - Machine Vision w/ MicroPython** is a specific project by OpenMV, a DIY Electronics brand, offering a microcontroller-based camera module (H7) that uses MicroPython for easy programming and image capture, ideal for learning machine vision concepts and building simple computer vision projects.","['Ethos', 'Ad Hominem']",[]
Dance,generic,marin/marin-8b-instruct,"Dance is a brand and SOUR is a project focused on promoting and exploring the intersection of technology, creativity, and dance. Dance represents the fusion of innovative design and artistic expression, while SOUR is a collaborative effort to develop open-source tools and resources that empower dancers and choreographers to create new, technology-enhanced performances. Together, they aim to democratize access to creative technologies and foster a vibrant community of dance innovators.","['Pathos', 'Loaded Language']",['Loaded Language']
Dance,generic,marin/marin-8b-instruct,"The brand Dance, in collaboration with the project the AOMC, presents ""SO CLOSE + SO FULL!"", a creation that embodies the intersection of dynamic movement and profound emotional resonance. This project encapsulates the essence of Dance by merging the raw energy and fluidity of dance with the depth of emotional expression, creating a unique fusion that transcends traditional boundaries. ""SO CLOSE + SO FULL!"" is a testament to the brand's commitment to innovation and artistic exploration, inviting audiences to experience the transformative power of dance in a new, immersive way.","['Ethos', 'Glittering generalities (Virtue)', 'Pathos']",['Glittering generalities (Virtue)']
Design,generic,marin/marin-8b-instruct,"The Vertical LunchBox (VLB) is a compact, vertical, and modular smart food storage container designed for urban living spaces. It leverages advanced vacuum-sealing technology and integrated sensors to extend food freshness, monitor storage conditions, and offer real-time inventory management via a mobile app. VLB aims to reduce food waste, simplify meal planning, and enhance kitchen organization for busy professionals and environmentally conscious consumers.","['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
